DensE1,LongE1,LatE1
435.0626489,-74.10267859,4.461906337
1039.258465,-74.10646387,4.486322678
401.2519649,-74.0983537,4.463534238
437.8296406,-74.13835906,4.459191303
453.4041296,-74.09619166,4.480354541
382.1639084,-74.09240697,4.466789915
698.4672207,-74.1259271,4.492290115
413.4260993,-74.08916331,4.470588094
427.6371992,-74.14971308,4.470584627
453.2951554,-74.13349337,4.457021336
443.9698802,-74.1032193,4.464619261
535.4250652,-74.15728556,4.505309461
532.362605,-74.1529572,4.474382417
606.648424,-74.15620287,4.492287475
661.37059,-74.11511327,4.471672398
624.1120088,-74.15998636,4.483605653
600.7289173,-74.15241873,4.495543401
469.3074863,-74.12051872,4.458107388
600.7970388,-74.15458175,4.499883876
955.806431,-74.11511399,4.485779695
979.0911123,-74.12322327,4.481981115
447.5536823,-74.10051631,4.467874882
503.5560287,-74.10916627,4.468417148
513.8920382,-74.10430086,4.473300639
461.1349328,-74.13890017,4.46515973
465.8641567,-74.144307,4.472212905
620.9308463,-74.15295854,4.487404528
475.1424325,-74.11024732,4.464076392
900.0101771,-74.12051976,4.476012808
594.2316901,-74.15079556,4.483064045
997.88631,-74.10862652,4.48903553
984.0193904,-74.10700531,4.506398417
571.5356485,-74.16160863,4.486860994
446.6918308,-74.13944024,4.458648624
500.9300729,-74.13457648,4.481437728
454.3866903,-74.1340341,4.45864906
458.3891688,-74.09727292,4.480354513
455.5017241,-74.13457489,4.460819372
542.7176718,-74.10646355,4.478183853
474.9234139,-74.10430076,4.470587697
453.0345161,-74.13187161,4.458106635
949.8520281,-74.12592635,4.480895764
643.2978163,-74.11619426,4.466789046
883.7673833,-74.10376071,4.486865368
967.9802692,-74.12322384,4.491205114
543.7527294,-74.08862298,4.489578697
585.8514925,-74.14214498,4.477638981
512.5854139,-74.13944193,4.478724391
457.2949056,-74.10430064,4.467332165
454.5990584,-74.13944052,4.461904155
461.1956037,-74.12916843,4.456479065
383.3604968,-74.08537893,4.46841779
631.8435672,-74.15944621,4.487946416
501.1300928,-74.10213837,4.473843304
429.1965497,-74.14971297,4.469499451
603.3082744,-74.15620159,4.480350543
451.8331437,-74.13403398,4.457021295
566.9205657,-74.14214493,4.477096393
630.8492407,-74.1091666,4.476013387
401.8997469,-74.09943496,4.464076795
415.727582,-74.09781327,4.470045317
602.2876292,-74.11025152,4.557944097
458.45731,-74.12808724,4.457021728
536.9217916,-74.151876,4.474925116
564.008529,-74.14809194,4.478181019
599.6875096,-74.13619868,4.485235716
583.0816761,-74.11240979,4.464076293
633.822751,-74.13349489,4.477097106
459.6670544,-74.12646536,4.45647925
616.0592815,-74.11349122,4.46787436
639.4093267,-74.11727545,4.465703811
532.7356835,-74.14701289,4.501512402
631.4097126,-74.11565364,4.466789074
453.0913756,-74.13457472,4.458649019
478.288189,-74.15512406,4.515618857
640.3001982,-74.13025151,4.482523229
463.7024635,-74.12700594,4.455936625
808.6877279,-74.15620725,4.532981533
456.9087029,-74.13241222,4.458106595
454.9664284,-74.13024977,4.458106753
486.5238951,-74.140523,4.476553946
639.3308913,-74.16918459,4.543289154
470.4727343,-74.08970413,4.482525032
423.3155916,-74.13565573,4.455935991
1029.601718,-74.1221422,4.485236711
892.5200356,-74.11781663,4.476012961
902.1548149,-74.12592521,4.463532937
594.2756934,-74.15025644,4.498256559
647.676977,-74.11078855,4.47764108
688.9585579,-74.11403254,4.481981632
406.2111993,-74.09294773,4.473300967
559.7336003,-74.12646565,4.460819958
616.2644353,-74.15295881,4.490117467
438.1045833,-74.1378184,4.458648759
434.5160592,-74.09943515,4.470587858
559.1016036,-74.15944549,4.481435362
433.0530639,-74.13998104,4.460818932
1103.482639,-74.12484688,4.508567825
919.0494278,-74.12538629,4.489577211
585.8294275,-74.14592937,4.477638636
508.9316868,-74.10538204,4.471672833
444.2817943,-74.15133489,4.470041878
461.1280748,-74.13565624,4.462447053
520.7624014,-74.16485678,4.523213971
805.3360086,-74.1161946,4.473300107
547.9170384,-74.10592288,4.477098697
586.0809733,-74.15133576,4.478723287
441.1756277,-74.10321928,4.464076672
470.6668198,-74.1097067,4.464076416
857.3008889,-74.13025031,4.465702992
469.6863289,-74.13187377,4.487406403
550.1001894,-74.12700627,4.460819922
472.0640272,-74.14484777,4.47384062
516.231592,-74.13133131,4.462447383
373.0368001,-74.09348819,4.465704715
591.58747,-74.13565821,4.487406112
604.6011424,-74.11186928,4.466246672
982.1080589,-74.12808802,4.468416087
402.3117253,-74.09024458,4.471673253
636.6361501,-74.11673483,4.46570384
443.0376165,-74.15944943,4.516703556
553.3056769,-74.08591977,4.487950969
991.3055016,-74.11295214,4.499887095
1161.778819,-74.11998118,4.511281065
458.063321,-74.10538186,4.466789536
404.0859107,-74.09078519,4.471130655
460.3145408,-74.12970904,4.456479026
582.8059877,-74.11295039,4.463533678
562.718728,-74.16160795,4.480892529
531.9209672,-74.10430099,4.477098758
455.2020223,-74.14052138,4.457563355
401.1651314,-74.09997554,4.462991602
909.6677341,-74.13079148,4.47329919
617.3299839,-74.15187836,4.498256395
428.3124746,-74.1405217,4.461361474
858.8470126,-74.10376069,4.48632278
439.67364,-74.14700986,4.469499713
633.4805363,-74.1594464,4.489574179
468.5597157,-74.13565633,4.46353223
384.031918,-74.08591956,4.468960373
538.9944221,-74.10916681,4.480896682
688.4727934,-74.11781621,4.468416724
452.186466,-74.13998118,4.462446697
391.9416402,-74.08862266,4.468417748
942.3771274,-74.12916903,4.465160481
456.8924629,-74.12862785,4.457021691
979.9461055,-74.12430357,4.466788573
468.1107023,-74.12105933,4.458107356
660.7208733,-74.12484387,4.461905242
379.8256738,-74.08862265,4.467875159
597.6020633,-74.15025649,4.498799146
380.90958,-74.09456939,4.464076925
499.2923598,-74.10267898,4.473300697
454.0063156,-74.13673748,4.462446966
487.5319469,-74.1486322,4.47438285
1000.10764,-74.11727659,4.486864757
916.9561492,-74.11565496,4.492290725
447.7096549,-74.08916344,4.478726922
640.7104507,-74.11457262,4.471129837
502.1825958,-74.13025225,4.492832403
469.684817,-74.12159991,4.457564735
752.0651866,-74.12538516,4.472214387
404.2861551,-74.09565078,4.470045373
589.9947868,-74.11295041,4.464076267
461.5636776,-74.12808716,4.455936551
554.371576,-74.10484166,4.478183915
453.2370024,-74.13944047,4.461361566
655.2290521,-74.12376264,4.461905311
524.9695285,-74.10213848,4.477098834
513.5710372,-74.13619777,4.473841365
569.4836729,-74.14701058,4.477095946
459.2968219,-74.12754659,4.456479177
454.1141819,-74.13133099,4.458106675
623.1108137,-74.11457248,4.468416895
981.0732579,-74.1291693,4.468958599
624.5927071,-74.12592503,4.460819994
574.967889,-74.14646995,4.477095998
404.6449976,-74.08916334,4.47221586
985.5092111,-74.12538569,4.480353211
439.5123688,-74.13781827,4.457020994
584.8774923,-74.14755244,4.490118006
983.8905547,-74.12538488,4.46787368
641.6959963,-74.13241376,4.478724953
479.8426737,-74.13781969,4.474383821
436.9354846,-74.14322478,4.461361237
461.2942318,-74.1037601,4.469502539
909.6997482,-74.11835722,4.475470343
518.6577039,-74.10484146,4.472758031
462.4351695,-74.10862547,4.464076463
411.4788084,-74.14593261,4.512364258
434.8726715,-74.14214355,4.461361333
894.3447573,-74.1161956,4.492290697
460.0959669,-74.09240727,4.481439805
